state,county,name,lat,lon
GA,Henry,"Henry, GA",33.452881,-84.15444
GA,Houston,"Houston, GA",32.458381,-83.662856
GA,Irwin,"Irwin, GA",31.604306,-83.277037
GA,Jackson,"Jackson, GA",34.134157,-83.565133
GA,Jasper,"Jasper, GA",33.314905,-83.687892
GA,Jeff Davis,"Jeff Davis, GA",31.811615,-82.636825
GA,Jefferson,"Jefferson, GA",33.051874,-82.41905
GA,Jenkins,"Jenkins, GA",32.794563,-81.971524
GA,Johnson,"Johnson, GA",32.689831,-82.661354
GA,Jones,"Jones, GA",33.020226,-83.562339
GA,Lamar,"Lamar, GA",33.07446,-84.146721
GA,Lanier,"Lanier, GA",31.038197,-83.063164
GA,Laurens,"Laurens, GA",32.39322,-82.926317
GA,Lee,"Lee, GA",31.818419,-84.146681
GA,Liberty,"Liberty, GA",31.807245,-81.457969
GA,Lincoln,"Lincoln, GA",33.792151,-82.448299
GA,Long,"Long, GA",31.749563,-81.74287
GA,Lowndes,"Lowndes, GA",30.83368,-83.268967
GA,Lumpkin,"Lumpkin, GA",34.568149,-83.998828
GA,McDuffie,"McDuffie, GA",33.482464,-82.473188
GA,McIntosh,"McIntosh, GA",31.482978,-81.370199
GA,Macon,"Macon, GA",32.366216,-84.052162
GA,Madison,"Madison, GA",34.128486,-83.203637
